family,entity,keyword,volume,slug,entity_count,data_source,source
chemical_formula_for,(FAMILY TOTAL),Chemical Formula for {Compound},78500,/guides/chemical-formula/[compound],122,Site's own compound library (35 named compounds with formulas),stage4+stage6
chemical_formula_for,acetic acid,chemical formula for acetic acid,36200,/guides/chemical-formula/acetic-acid,,,stage4
chemical_formula_for,glucose,chemical formula for glucose,27100,/guides/chemical-formula/glucose,,,stage4
chemical_formula_for,nh3,ammonia chemical formula,27100,/guides/chemical-formula/nh3,,,stage6
chemical_formula_for,nh4,ammonium chemical formula,27100,/guides/chemical-formula/nh4,,,stage6
chemical_formula_for,c6h12o6,chemical formula for glucose,27100,/guides/chemical-formula/c6h12o6,,,stage6
chemical_formula_for,ch3cooh,acetic acid chemical formula,18100,/guides/chemical-formula/ch3cooh,,,stage6
chemical_formula_for,ch4,chemical formula ch4,14800,/guides/chemical-formula/ch4,,,stage6
chemical_formula_for,c2h5oh,chemical formula ethanol,14800,/guides/chemical-formula/c2h5oh,,,stage6
chemical_formula_for,h2o2,chemical formula for hydrogen peroxide,14800,/guides/chemical-formula/h2o2,,,stage6
chemical_formula_for,c2h3o2,acetate chemical formula,9900,/guides/chemical-formula/c2h3o2,,,stage6
chemical_formula_for,c3h6o,acetone chemical formula,9900,/guides/chemical-formula/c3h6o,,,stage6
chemical_formula_for,nahco3,baking soda chemical formula,9900,/guides/chemical-formula/nahco3,,,stage6
chemical_formula_for,co,c o chemical formula,9900,/guides/chemical-formula/co,,,stage6
chemical_formula_for,co2,carbon dioxide chemical formula,9900,/guides/chemical-formula/co2,,,stage6
chemical_formula_for,co3,carbonate chemical formula,9900,/guides/chemical-formula/co3,,,stage6
chemical_formula_for,titin,chemical formula for titin,9900,/guides/chemical-formula/titin,,,stage6
chemical_formula_for,propanone,chemical formula of propanone,9900,/guides/chemical-formula/propanone,,,stage6
chemical_formula_for,na2co3,soda chemical formula,9900,/guides/chemical-formula/na2co3,,,stage6
chemical_formula_for,vinegar,chemical formula for vinegar,8100,/guides/chemical-formula/vinegar,,,stage4
chemical_formula_for,caco3,calcium carbonate chemical formula,8100,/guides/chemical-formula/caco3,,,stage6
chemical_formula_for,cacl2,calcium chloride chemical formula,8100,/guides/chemical-formula/cacl2,,,stage6
chemical_formula_for,no3,chemical formula for nitrate,8100,/guides/chemical-formula/no3,,,stage6
chemical_formula_for,nacl,chemical formula for salt,8100,/guides/chemical-formula/nacl,,,stage6
chemical_formula_for,c12h22o11,chemical formula for sugar,8100,/guides/chemical-formula/c12h22o11,,,stage6
chemical_formula_for,salts,chemical formula of salts,8100,/guides/chemical-formula/salts,,,stage6
chemical_formula_for,h2o,chemical formula for water,6600,/guides/chemical-formula/h2o,,,stage6
chemical_formula_for,hco3,bicarbonate chemical formula,5400,/guides/chemical-formula/hco3,,,stage6
chemical_formula_for,naclo,bleach chemical formula,5400,/guides/chemical-formula/naclo,,,stage6
chemical_formula_for,caoh2,calcium hydroxide chemical formula,5400,/guides/chemical-formula/caoh2,,,stage6
chemical_formula_for,c6h8o7,chemical formula citric acid,5400,/guides/chemical-formula/c6h8o7,,,stage6
chemical_formula_for,agno3,chemical formula of silver nitrate,5400,/guides/chemical-formula/agno3,,,stage6
chemical_formula_for,mgo,magnesium oxide chemical formula,5400,/guides/chemical-formula/mgo,,,stage6
chemical_formula_for,c4h10,butane chemical formula,4400,/guides/chemical-formula/c4h10,,,stage6
chemical_formula_for,cl2,chemical formula chlorine gas,4400,/guides/chemical-formula/cl2,,,stage6
chemical_formula_for,cl,chemical formula for chlorine,4400,/guides/chemical-formula/cl,,,stage6
