family,entity,keyword,search_volume_us,cpc,is_new_vs_master,suggested_slug
chemical_formula_for,nh3,ammonia chemical formula,27100,,yes,/guides/chemical-formula/nh3
chemical_formula_for,nh4,ammonium chemical formula,27100,,yes,/guides/chemical-formula/nh4
chemical_formula_for,nh3,chemical formula for ammonia,27100,,yes,/guides/chemical-formula/nh3
chemical_formula_for,nh4,chemical formula for ammonium,27100,,yes,/guides/chemical-formula/nh4
chemical_formula_for,c6h12o6,chemical formula for glucose,27100,2.57,no,/guides/chemical-formula/c6h12o6
chemical_formula_for,c6h12o6,chemical formula glucose,27100,2.35,yes,/guides/chemical-formula/c6h12o6
chemical_formula_for,nh3,chemical formula of ammonia,27100,,yes,/guides/chemical-formula/nh3
chemical_formula_for,nh4,chemical formula of ammonium,27100,,yes,/guides/chemical-formula/nh4
chemical_formula_for,c6h12o6,chemical formula of glucose,27100,2.35,yes,/guides/chemical-formula/c6h12o6
chemical_formula_for,c6h12o6,glucose chemical formula,27100,2.57,no,/guides/chemical-formula/c6h12o6
chemical_formula_for,nh3,nh3 chemical formula,27100,,yes,/guides/chemical-formula/nh3
chemical_formula_for,ch3cooh,acetic acid chemical formula,18100,4.55,yes,/guides/chemical-formula/ch3cooh
chemical_formula_for,ch3cooh,chemical formula acetic acid,18100,4.55,no,/guides/chemical-formula/ch3cooh
chemical_formula_for,ch3cooh,chemical formula for acetic acid,18100,7.41,no,/guides/chemical-formula/ch3cooh
chemical_formula_for,ch3cooh,chemical formula of acetic acid,18100,4.55,no,/guides/chemical-formula/ch3cooh
chemical_formula_for,ch4,chemical formula ch4,14800,,yes,/guides/chemical-formula/ch4
chemical_formula_for,c2h5oh,chemical formula ethanol,14800,2.03,yes,/guides/chemical-formula/c2h5oh
chemical_formula_for,c2h5oh,chemical formula ethyl alcohol,14800,2.03,yes,/guides/chemical-formula/c2h5oh
chemical_formula_for,ch4,chemical formula for ch4,14800,,yes,/guides/chemical-formula/ch4
chemical_formula_for,c2h5oh,chemical formula for ethanol,14800,2.03,yes,/guides/chemical-formula/c2h5oh
chemical_formula_for,h2o2,chemical formula for hydrogen peroxide,14800,0.03,yes,/guides/chemical-formula/h2o2
chemical_formula_for,ch4,chemical formula for methane,14800,,yes,/guides/chemical-formula/ch4
chemical_formula_for,ch4,chemical formula methane,14800,,yes,/guides/chemical-formula/ch4
chemical_formula_for,c2h5oh,chemical formula of ethanol,14800,2.03,yes,/guides/chemical-formula/c2h5oh
chemical_formula_for,c2h5oh,chemical formula of ethyl alcohol,14800,2.03,yes,/guides/chemical-formula/c2h5oh
chemical_formula_for,h2o2,chemical formula of hydrogen peroxide,14800,0.79,yes,/guides/chemical-formula/h2o2
chemical_formula_for,ch4,chemical formula of methane,14800,,yes,/guides/chemical-formula/ch4
chemical_formula_for,c2h5oh,ethanol chemical formula,14800,,yes,/guides/chemical-formula/c2h5oh
chemical_formula_for,c2h5oh,ethyl alcohol chemical formula,14800,,yes,/guides/chemical-formula/c2h5oh
chemical_formula_for,h2o2,h2o2 chemical formula,14800,0.79,yes,/guides/chemical-formula/h2o2
chemical_formula_for,h2o2,hydrogen peroxide chemical formula,14800,0.79,yes,/guides/chemical-formula/h2o2
chemical_formula_for,ch4,methane chemical formula,14800,,yes,/guides/chemical-formula/ch4
chemical_formula_for,c2h3o2,acetate chemical formula,9900,,yes,/guides/chemical-formula/c2h3o2
chemical_formula_for,c3h6o,acetone chemical formula,9900,4.91,yes,/guides/chemical-formula/c3h6o
chemical_formula_for,nahco3,baking soda chemical formula,9900,1.49,yes,/guides/chemical-formula/nahco3
chemical_formula_for,co,c o chemical formula,9900,,yes,/guides/chemical-formula/co
chemical_formula_for,co2,carbon dioxide chemical formula,9900,,yes,/guides/chemical-formula/co2
chemical_formula_for,co,carbon monoxide chemical formula,9900,,yes,/guides/chemical-formula/co
chemical_formula_for,co3,carbonate chemical formula,9900,,yes,/guides/chemical-formula/co3
chemical_formula_for,c2h3o2,chemical formula acetate,9900,,yes,/guides/chemical-formula/c2h3o2
chemical_formula_for,nahco3,chemical formula baking soda,9900,1.49,yes,/guides/chemical-formula/nahco3
chemical_formula_for,co2,chemical formula carbon dioxide,9900,,yes,/guides/chemical-formula/co2
chemical_formula_for,co,chemical formula carbon monoxide,9900,,yes,/guides/chemical-formula/co
chemical_formula_for,co,chemical formula co,9900,,yes,/guides/chemical-formula/co
chemical_formula_for,nahco3,chemical formula for baking soda,9900,0.8,yes,/guides/chemical-formula/nahco3
chemical_formula_for,co,chemical formula for carbon monoxide,9900,,yes,/guides/chemical-formula/co
chemical_formula_for,co3,chemical formula for carbonate,9900,,yes,/guides/chemical-formula/co3
chemical_formula_for,nahco3,chemical formula for sodium bicarbonate,9900,4.18,yes,/guides/chemical-formula/nahco3
chemical_formula_for,titin,chemical formula for titin,9900,,yes,/guides/chemical-formula/titin
chemical_formula_for,c2h3o2,chemical formula of acetate,9900,,yes,/guides/chemical-formula/c2h3o2
chemical_formula_for,c3h6o,chemical formula of acetone,9900,4.91,yes,/guides/chemical-formula/c3h6o
chemical_formula_for,nahco3,chemical formula of baking soda,9900,,yes,/guides/chemical-formula/nahco3
chemical_formula_for,co2,chemical formula of carbon dioxide,9900,,yes,/guides/chemical-formula/co2
chemical_formula_for,co,chemical formula of carbon monoxide,9900,,yes,/guides/chemical-formula/co
chemical_formula_for,co3,chemical formula of carbonate,9900,,yes,/guides/chemical-formula/co3
chemical_formula_for,propanone,chemical formula of propanone,9900,4.91,yes,/guides/chemical-formula/propanone
chemical_formula_for,nahco3,chemical formula of sodium bicarbonate,9900,4.18,yes,/guides/chemical-formula/nahco3
chemical_formula_for,nahco3,chemical formula sodium bicarbonate,9900,,yes,/guides/chemical-formula/nahco3
chemical_formula_for,co,co chemical formula,9900,,yes,/guides/chemical-formula/co
chemical_formula_for,propanone,propanone chemical formula,9900,4.91,yes,/guides/chemical-formula/propanone
chemical_formula_for,na2co3,soda chemical formula,9900,0.8,yes,/guides/chemical-formula/na2co3
chemical_formula_for,nahco3,sodium bicarbonate chemical formula,9900,4.18,yes,/guides/chemical-formula/nahco3
chemical_formula_for,caco3,calcium carbonate chemical formula,8100,,yes,/guides/chemical-formula/caco3
chemical_formula_for,cacl2,calcium chloride chemical formula,8100,,yes,/guides/chemical-formula/cacl2
chemical_formula_for,cacl2,chemical formula calcium chloride,8100,1.44,yes,/guides/chemical-formula/cacl2
chemical_formula_for,cacl2,chemical formula for calcium chloride,8100,,yes,/guides/chemical-formula/cacl2
chemical_formula_for,no3,chemical formula for nitrate,8100,,yes,/guides/chemical-formula/no3
chemical_formula_for,nacl,chemical formula for salt,8100,,yes,/guides/chemical-formula/nacl
chemical_formula_for,c12h22o11,chemical formula for sugar,8100,,yes,/guides/chemical-formula/c12h22o11
chemical_formula_for,ch3cooh,chemical formula for vinegar,8100,,no,/guides/chemical-formula/ch3cooh
chemical_formula_for,no3,chemical formula nitrate,8100,,yes,/guides/chemical-formula/no3
chemical_formula_for,cacl2,chemical formula of calcium chloride,8100,,yes,/guides/chemical-formula/cacl2
chemical_formula_for,no3,chemical formula of nitrate,8100,,yes,/guides/chemical-formula/no3
chemical_formula_for,nacl,chemical formula of salt,8100,,yes,/guides/chemical-formula/nacl
chemical_formula_for,salts,chemical formula of salts,8100,,yes,/guides/chemical-formula/salts
chemical_formula_for,c12h22o11,chemical formula of sugar,8100,,yes,/guides/chemical-formula/c12h22o11
chemical_formula_for,ch3cooh,chemical formula of vinegar,8100,,yes,/guides/chemical-formula/ch3cooh
chemical_formula_for,nacl,chemical formula salt,8100,,yes,/guides/chemical-formula/nacl
chemical_formula_for,c12h22o11,chemical formula sugar,8100,,yes,/guides/chemical-formula/c12h22o11
chemical_formula_for,ch3cooh,chemical formula vinegar,8100,,yes,/guides/chemical-formula/ch3cooh
chemical_formula_for,nacl,chemical salt formula,8100,,yes,/guides/chemical-formula/nacl
chemical_formula_for,ch3cooh,distilled vinegar chemical formula,8100,,yes,/guides/chemical-formula/ch3cooh
chemical_formula_for,no3,nitrate chemical formula,8100,,yes,/guides/chemical-formula/no3
chemical_formula_for,nacl,salt chemical formula,8100,,yes,/guides/chemical-formula/nacl
chemical_formula_for,salts,salts chemical formula,8100,,yes,/guides/chemical-formula/salts
chemical_formula_for,c12h22o11,sugar chemical formula,8100,,yes,/guides/chemical-formula/c12h22o11
