domain,keyword,search_volume_us,rank_absolute,ranking_url,page_pattern
periodictable.one,element i on periodic table,368000,65,https://www.periodictable.one/,per-element
periodictable.one,elements on the periodic table,368000,50,https://www.periodictable.one/,other
periodictable.one,periodic table of chemical element,368000,67,https://www.periodictable.one/elements,other
periodictable.one,chemical element pa,135000,23,https://www.periodictable.one/element/91,per-element
periodictable.one,pa element,135000,24,https://www.periodictable.one/element/91,per-element
periodictable.one,element lanthanum,110000,40,https://www.periodictable.one/element/57,per-element
periodictable.one,interactive periodic table,110000,65,https://www.periodictable.one/,game
periodictable.one,interactive periodic table of elements,110000,83,https://www.periodictable.one/,game
periodictable.one,interactive periodic tables,110000,86,https://www.periodictable.one/,game
periodictable.one,interactive table of elements,110000,66,https://www.periodictable.one/,game
periodictable.one,lanthanum,110000,23,https://www.periodictable.one/element/57,per-element
periodictable.one,lanthanum element,110000,38,https://www.periodictable.one/element/57,per-element
periodictable.one,na sodium,110000,52,https://www.periodictable.one/element/11,per-element
periodictable.one,natrium element,110000,61,https://www.periodictable.one/element/11,per-element
periodictable.one,periodic table interactive,110000,71,https://www.periodictable.one/,game
periodictable.one,sodium na,110000,44,https://www.periodictable.one/element/11,per-element
periodictable.one,bi element,90500,33,https://www.periodictable.one/element/83,per-element
periodictable.one,element bi,90500,27,https://www.periodictable.one/element/83,per-element
periodictable.one,helium,90500,67,https://www.periodictable.one/element/2,per-element
periodictable.one,hydrogen element,90500,55,https://www.periodictable.one/element/1,per-element
periodictable.one,chlorine element,74000,48,https://www.periodictable.one/element/17,per-element
periodictable.one,nitrogen,74000,52,https://www.periodictable.one/element/7,per-element
periodictable.one,element fr,60500,38,https://www.periodictable.one/element/87,per-element
periodictable.one,element po,60500,26,https://www.periodictable.one/element/84,per-element
periodictable.one,elements po,60500,27,https://www.periodictable.one/element/84,per-element
periodictable.one,francium,60500,33,https://www.periodictable.one/element/87,per-element
periodictable.one,francium element,60500,31,https://www.periodictable.one/element/87,per-element
periodictable.one,francium metal,60500,42,https://www.periodictable.one/element/87,per-element
periodictable.one,mn element,60500,31,https://www.periodictable.one/element/25,per-element
periodictable.one,aluminium,49500,44,https://www.periodictable.one/element/13,per-element
periodictable.one,ar element,49500,33,https://www.periodictable.one/element/18,per-element
periodictable.one,argon,49500,62,https://www.periodictable.one/element/18,per-element
periodictable.one,argon element,49500,32,https://www.periodictable.one/element/18,per-element
periodictable.one,argon elements,49500,39,https://www.periodictable.one/element/18,per-element
periodictable.one,element ra,49500,24,https://www.periodictable.one/element/88,per-element
periodictable.one,element xe,49500,38,https://www.periodictable.one/element/54,per-element
periodictable.one,elements xe,49500,31,https://www.periodictable.one/element/54,per-element
periodictable.one,f element,49500,49,https://www.periodictable.one/element/9,per-element
periodictable.one,p in periodic table,49500,22,https://www.periodictable.one/element/15,per-element
periodictable.one,p on periodic table,49500,30,https://www.periodictable.one/element/15,per-element
periodictable.one,p periodic table,49500,51,https://www.periodictable.one/,per-element
periodictable.one,ptable periodic table,49500,61,https://www.periodictable.one/,other
periodictable.one,6 7 periodic table,40500,45,https://www.periodictable.one/element/67,per-element
periodictable.one,67 periodic table,40500,27,https://www.periodictable.one/element/67,per-element
periodictable.one,ba element,40500,31,https://www.periodictable.one/element/56,per-element
periodictable.one,element ba,40500,28,https://www.periodictable.one/element/56,per-element
periodictable.one,element f,40500,44,https://www.periodictable.one/element/9,per-element
periodictable.one,element fe periodic table,40500,38,https://www.periodictable.one/element/26,per-element
periodictable.one,element fluorine,40500,59,https://www.periodictable.one/element/9,per-element
periodictable.one,element iron periodic table,40500,33,https://www.periodictable.one/element/26,per-element
periodictable.one,fe element periodic table,40500,42,https://www.periodictable.one/element/26,per-element
periodictable.one,fe on periodic table,40500,39,https://www.periodictable.one/element/26,per-element
periodictable.one,fe periodic table,40500,35,https://www.periodictable.one/element/26,per-element
periodictable.one,fe periodic table element,40500,42,https://www.periodictable.one/element/26,per-element
periodictable.one,fluorine,40500,56,https://www.periodictable.one/element/9,per-element
periodictable.one,iron element periodic table,40500,48,https://www.periodictable.one/element/26,per-element
periodictable.one,iron in periodic table,40500,46,https://www.periodictable.one/element/26,per-element
periodictable.one,iron in table of elements,40500,60,https://www.periodictable.one/element/26,per-element
periodictable.one,iron in the periodic table,40500,58,https://www.periodictable.one/element/26,per-element
periodictable.one,iron on a periodic table,40500,65,https://www.periodictable.one/element/26,per-element
periodictable.one,iron on periodic table,40500,44,https://www.periodictable.one/element/26,per-element
periodictable.one,iron on the periodic table of elements,40500,55,https://www.periodictable.one/element/26,per-element
periodictable.one,iron periodic symbol,40500,38,https://www.periodictable.one/element/26,per-element
periodictable.one,iron periodic table,40500,50,https://www.periodictable.one/element/26,per-element
periodictable.one,iron periodic table of elements,40500,60,https://www.periodictable.one/element/26,per-element
periodictable.one,iron table of elements,40500,48,https://www.periodictable.one/element/26,per-element
periodictable.one,mo element,40500,37,https://www.periodictable.one/element/42,per-element
periodictable.one,p in the periodic table,40500,28,https://www.periodictable.one/element/15,per-element
periodictable.one,p on the periodic table,40500,34,https://www.periodictable.one/element/15,per-element
periodictable.one,periodic table 6 7,40500,30,https://www.periodictable.one/element/67,per-element
periodictable.one,periodic table 67,40500,14,https://www.periodictable.one/element/67,per-element
periodictable.one,periodic table element fe,40500,42,https://www.periodictable.one/element/26,per-element
periodictable.one,periodic table element iron,40500,51,https://www.periodictable.one/element/26,per-element
periodictable.one,periodic table iron,40500,50,https://www.periodictable.one/element/26,per-element
periodictable.one,periodic table of elements fe,40500,46,https://www.periodictable.one/element/26,per-element
periodictable.one,periodic table of elements iron,40500,62,https://www.periodictable.one/element/26,per-element
periodictable.one,periodic table of iron,40500,41,https://www.periodictable.one/element/26,per-element
periodictable.one,periodic table p,40500,40,https://www.periodictable.one/,per-element
periodictable.one,sr element,40500,38,https://www.periodictable.one/element/38,per-element
periodictable.one,table of elements fe,40500,33,https://www.periodictable.one/element/26,per-element
periodictable.one,table of elements iron,40500,47,https://www.periodictable.one/element/26,per-element
periodictable.one,chemical element hg,33100,35,https://www.periodictable.one/element/80,per-element
periodictable.one,hg element,33100,29,https://www.periodictable.one/element/80,per-element
periodictable.one,mercury hg element,33100,34,https://www.periodictable.one/element/80,per-element
periodictable.one,periodic table element labeled,33100,63,https://www.periodictable.one/,other
periodictable.one,the periodic table,33100,70,https://www.periodictable.one/,other
periodictable.one,astatine,27100,33,https://www.periodictable.one/element/85,per-element
periodictable.one,element na periodic table,27100,34,https://www.periodictable.one/element/11,per-element
periodictable.one,fe in periodic table,27100,42,https://www.periodictable.one/element/26,per-element
periodictable.one,iron on table of elements,27100,61,https://www.periodictable.one/element/26,per-element
periodictable.one,na element periodic table,27100,31,https://www.periodictable.one/element/11,per-element
periodictable.one,na in periodic table,27100,31,https://www.periodictable.one/element/11,per-element
periodictable.one,na in the periodic table,27100,26,https://www.periodictable.one/element/11,per-element
periodictable.one,na on periodic table,27100,34,https://www.periodictable.one/element/11,per-element
periodictable.one,na on the periodic table,27100,31,https://www.periodictable.one/element/11,per-element
periodictable.one,na periodic table,27100,29,https://www.periodictable.one/element/11,per-element
periodictable.one,na table of elements,27100,42,https://www.periodictable.one/element/11,per-element
periodictable.one,natrium periodic table,27100,26,https://www.periodictable.one/element/11,per-element
periodictable.one,ni-p,27100,95,https://www.periodictable.one/element/28,per-element
periodictable.one,periodic table element na,27100,35,https://www.periodictable.one/element/11,per-element
periodictable.one,periodic table na,27100,31,https://www.periodictable.one/element/11,per-element
periodictable.one,periodic table of elements na,27100,53,https://www.periodictable.one/element/11,per-element
periodictable.one,periodic table of elements sodium,27100,45,https://www.periodictable.one/element/11,per-element
periodictable.one,periodic table of elements with atomic weight,27100,67,https://www.periodictable.one/property/atomic-weight,other
periodictable.one,periodic table of na,27100,33,https://www.periodictable.one/element/11,per-element
periodictable.one,periodic table sodium,27100,36,https://www.periodictable.one/element/11,per-element
periodictable.one,sodium element periodic table,27100,37,https://www.periodictable.one/element/11,per-element
periodictable.one,sodium in periodic table,27100,26,https://www.periodictable.one/element/11,per-element
periodictable.one,sodium in the periodic table,27100,35,https://www.periodictable.one/element/11,per-element
periodictable.one,sodium on periodic table,27100,29,https://www.periodictable.one/element/11,per-element
periodictable.one,sodium on periodic table of elements,27100,34,https://www.periodictable.one/element/11,per-element
periodictable.one,sodium on the periodic table,27100,31,https://www.periodictable.one/element/11,per-element
periodictable.one,sodium periodic table,27100,29,https://www.periodictable.one/element/11,per-element
periodictable.one,t l metal,27100,27,https://www.periodictable.one/element/81,per-element
periodictable.one,ta element,27100,42,https://www.periodictable.one/element/73,per-element
periodictable.one,tabla periódica,27100,42,https://www.periodictable.one/es/elementos,other
periodictable.one,table of elements na,27100,43,https://www.periodictable.one/element/11,per-element
periodictable.one,table of elements sodium,27100,50,https://www.periodictable.one/element/11,per-element
periodictable.one,table of elements with atomic weight,27100,60,https://www.periodictable.one/property/atomic-weight,other
periodictable.one,chemical elements y,22200,35,https://www.periodictable.one/element/39,per-element
periodictable.one,element ne,22200,15,https://www.periodictable.one/element/10,per-element
periodictable.one,element of neon,22200,48,https://www.periodictable.one/element/10,per-element
periodictable.one,element og,22200,33,https://www.periodictable.one/element/118,per-element
periodictable.one,element y,22200,28,https://www.periodictable.one/element/39,per-element
periodictable.one,element yttrium,22200,38,https://www.periodictable.one/element/39,per-element
periodictable.one,element zr,22200,35,https://www.periodictable.one/element/40,per-element
periodictable.one,elements of neon,22200,52,https://www.periodictable.one/element/10,per-element
periodictable.one,elements y,22200,30,https://www.periodictable.one/element/39,per-element
periodictable.one,ge element,22200,36,https://www.periodictable.one/element/32,per-element
periodictable.one,germanium element,22200,38,https://www.periodictable.one/element/32,per-element
periodictable.one,germanium state,22200,42,https://www.periodictable.one/element/32,per-element
periodictable.one,germanum,22200,60,https://www.periodictable.one/element/32,per-element
periodictable.one,moscovium element,22200,52,https://www.periodictable.one/element/115,per-element
periodictable.one,og element,22200,31,https://www.periodictable.one/element/118,per-element
periodictable.one,oganesson,22200,44,https://www.periodictable.one/element/118,per-element
periodictable.one,oganesson element,22200,52,https://www.periodictable.one/element/118,per-element
periodictable.one,oganesson noble gas,22200,44,https://www.periodictable.one/element/118,per-element
periodictable.one,te element,22200,28,https://www.periodictable.one/element/52,per-element
periodictable.one,y element,22200,25,https://www.periodictable.one/element/39,per-element
periodictable.one,y elements,22200,37,https://www.periodictable.one/element/39,per-element
periodictable.one,a u on the periodic table,18100,19,https://www.periodictable.one/element/79,per-element
periodictable.one,atomic no of carbon,18100,22,https://www.periodictable.one/element/6,per-element
periodictable.one,atomic number carbon,18100,19,https://www.periodictable.one/element/6,per-element
periodictable.one,atomic number for carbon,18100,20,https://www.periodictable.one/element/6,per-element
periodictable.one,atomic number of c,18100,17,https://www.periodictable.one/element/6,per-element
periodictable.one,atomic number of carbon,18100,22,https://www.periodictable.one/element/6,per-element
periodictable.one,atomic number of carbon atom,18100,28,https://www.periodictable.one/element/6,per-element
periodictable.one,au element periodic table,18100,35,https://www.periodictable.one/element/79,per-element
periodictable.one,au gold periodic table,18100,35,https://www.periodictable.one/element/79,per-element
periodictable.one,au in periodic table,18100,35,https://www.periodictable.one/element/79,per-element
periodictable.one,au on periodic table,18100,11,https://www.periodictable.one/element/79,per-element
periodictable.one,au on the periodic table,18100,21,https://www.periodictable.one/element/79,per-element
periodictable.one,au on the periodic table of elements,18100,47,https://www.periodictable.one/element/79,per-element
periodictable.one,c atomic number,18100,33,https://www.periodictable.one/element/6,per-element
periodictable.one,carbon atom atomic number,18100,21,https://www.periodictable.one/element/6,per-element
periodictable.one,carbon atom number,18100,29,https://www.periodictable.one/element/6,per-element
periodictable.one,carbon atomic,18100,19,https://www.periodictable.one/element/6,per-element
periodictable.one,carbon atomic #,18100,20,https://www.periodictable.one/element/6,per-element
periodictable.one,carbon atomic number,18100,19,https://www.periodictable.one/element/6,per-element
periodictable.one,carbon element atomic number,18100,16,https://www.periodictable.one/element/6,per-element
periodictable.one,carbon element number,18100,16,https://www.periodictable.one/element/6,per-element
periodictable.one,carbon's atomic number,18100,17,https://www.periodictable.one/element/6,per-element
periodictable.one,chemical element ho,18100,28,https://www.periodictable.one/element/67,per-element
periodictable.one,chemical element rb,18100,41,https://www.periodictable.one/element/37,per-element
periodictable.one,copper element periodic table,18100,27,https://www.periodictable.one/element/29,per-element
periodictable.one,copper in periodic table,18100,32,https://www.periodictable.one/element/29,per-element
periodictable.one,copper in the periodic table,18100,20,https://www.periodictable.one/element/29,per-element
periodictable.one,copper on periodic table,18100,34,https://www.periodictable.one/element/29,per-element
periodictable.one,copper on the periodic table,18100,35,https://www.periodictable.one/element/29,per-element
periodictable.one,copper periodic symbol,18100,31,https://www.periodictable.one/element/29,per-element
periodictable.one,copper periodic table,18100,29,https://www.periodictable.one/element/29,per-element
periodictable.one,copper table of elements,18100,29,https://www.periodictable.one/element/29,per-element
periodictable.one,cu element periodic table,18100,21,https://www.periodictable.one/element/29,per-element
periodictable.one,cu on periodic table,18100,17,https://www.periodictable.one/element/29,per-element
periodictable.one,cu on the periodic table,18100,36,https://www.periodictable.one/element/29,per-element
periodictable.one,cu periodic table,18100,20,https://www.periodictable.one/element/29,per-element
periodictable.one,element au periodic table,18100,35,https://www.periodictable.one/element/79,per-element
periodictable.one,element cu,18100,34,https://www.periodictable.one/element/29,per-element
periodictable.one,element cu periodic table,18100,22,https://www.periodictable.one/element/29,per-element
periodictable.one,element gold periodic table,18100,43,https://www.periodictable.one/element/79,per-element
periodictable.one,element ho,18100,11,https://www.periodictable.one/element/67,per-element
periodictable.one,element rb,18100,39,https://www.periodictable.one/element/37,per-element
periodictable.one,elements of gold periodic table,18100,59,https://www.periodictable.one/element/79,per-element
periodictable.one,elements on periodic table names,18100,56,https://www.periodictable.one/elements,other
periodictable.one,elements table gold,18100,39,https://www.periodictable.one/element/79,per-element
periodictable.one,gold au periodic table,18100,35,https://www.periodictable.one/element/79,per-element
periodictable.one,gold element periodic table,18100,44,https://www.periodictable.one/element/79,per-element
periodictable.one,gold elements periodic table,18100,44,https://www.periodictable.one/element/79,per-element
periodictable.one,gold in periodic table,18100,43,https://www.periodictable.one/element/79,per-element
periodictable.one,gold in periodic table of elements,18100,55,https://www.periodictable.one/element/79,per-element
periodictable.one,gold in the periodic table,18100,54,https://www.periodictable.one/element/79,per-element
periodictable.one,gold on periodic table of elements,18100,25,https://www.periodictable.one/element/79,per-element
periodictable.one,gold on the periodic table,18100,52,https://www.periodictable.one/element/79,per-element
periodictable.one,gold periodic symbol,18100,38,https://www.periodictable.one/element/79,per-element
periodictable.one,gold periodic table element,18100,47,https://www.periodictable.one/element/79,per-element
periodictable.one,gold periodic table of elements,18100,57,https://www.periodictable.one/element/79,per-element
periodictable.one,ho element,18100,21,https://www.periodictable.one/element/67,per-element
periodictable.one,holmium element,18100,14,https://www.periodictable.one/element/67,per-element
periodictable.one,holmium metal,18100,35,https://www.periodictable.one/element/67,per-element
periodictable.one,lead element pb,18100,35,https://www.periodictable.one/element/82,per-element
periodictable.one,lead the element,18100,45,https://www.periodictable.one/element/82,per-element
periodictable.one,nb element,18100,23,https://www.periodictable.one/element/41,per-element
periodictable.one,number of atoms in carbon,18100,56,https://www.periodictable.one/element/6,per-element
periodictable.one,number of proton in carbon,18100,24,https://www.periodictable.one/element/6,per-element
periodictable.one,number of protons for carbon,18100,29,https://www.periodictable.one/element/6,per-element
periodictable.one,pb chemical element,18100,44,https://www.periodictable.one/element/82,per-element
periodictable.one,pb element,18100,34,https://www.periodictable.one/element/82,per-element
periodictable.one,pb lead element,18100,36,https://www.periodictable.one/element/82,per-element
periodictable.one,period of a periodic table,18100,73,https://www.periodictable.one/history/timeline,trend
periodictable.one,period on the periodic table,18100,81,https://www.periodictable.one/history/timeline,trend
periodictable.one,period periodic table,18100,42,https://www.periodictable.one/,trend
periodictable.one,periodic symbol for gold,18100,49,https://www.periodictable.one/element/79,per-element
periodictable.one,periodic table and name of elements,18100,72,https://www.periodictable.one/elements,other
periodictable.one,periodic table copper,18100,31,https://www.periodictable.one/element/29,per-element
periodictable.one,periodic table copper element,18100,32,https://www.periodictable.one/element/29,per-element
periodictable.one,periodic table cu,18100,28,https://www.periodictable.one/element/29,per-element
periodictable.one,periodic table element gold,18100,46,https://www.periodictable.one/element/79,per-element
periodictable.one,periodic table elements gold,18100,48,https://www.periodictable.one/element/79,per-element
periodictable.one,periodic table of copper,18100,32,https://www.periodictable.one/element/29,per-element
periodictable.one,periodic table of element gold,18100,57,https://www.periodictable.one/element/79,per-element
periodictable.one,periodic table of elements au,18100,41,https://www.periodictable.one/element/79,per-element
periodictable.one,periodic table of elements copper,18100,33,https://www.periodictable.one/element/29,per-element
